To use this drop table you simply identify which lights are on in the bottom row after you have chased the lights down, then proceed to click the given lights in the top row and chase them again.
BOTTOM ROW LIGHTS	SPOTS TO CLICK
0 0 0 0 0 0 1	0 0 0 0 0 1 1
0 0 0 0 0 1 0	0 0 0 0 1 1 1
0 0 0 0 0 1 1	0 0 0 0 1 0 0
0 0 0 0 1 0 0	0 0 0 1 1 1 0
0 0 0 0 1 0 1	0 0 0 1 1 0 1
0 0 0 0 1 1 0	0 0 0 1 0 0 1
0 0 0 0 1 1 1	0 0 0 1 0 1 0
0 0 0 1 0 0 0	0 0 1 1 1 0 0
0 0 0 1 0 0 1	0 0 1 1 1 1 1
0 0 0 1 0 1 0	0 0 1 1 0 1 1
0 0 0 1 0 1 1	0 0 1 1 0 0 0
0 0 0 1 1 0 0	0 0 1 0 0 1 0
0 0 0 1 1 0 1	0 0 1 0 0 0 1
0 0 0 1 1 1 0	0 0 1 0 1 0 1
0 0 0 1 1 1 1	0 0 1 0 1 1 0
0 0 1 0 0 0 0	0 1 1 1 0 0 0
0 0 1 0 0 0 1	0 1 1 1 0 1 1
0 0 1 0 0 1 0	0 1 1 1 1 1 1
0 0 1 0 0 1 1	0 1 1 1 1 0 0
0 0 1 0 1 0 0	0 1 1 0 1 1 0
0 0 1 0 1 0 1	0 1 1 0 1 0 1
0 0 1 0 1 1 0	0 1 1 0 0 0 1
0 0 1 0 1 1 1	0 1 1 0 0 1 0
0 0 1 1 0 0 0	0 1 0 0 1 0 0
0 0 1 1 0 0 1	0 1 0 0 1 1 1
0 0 1 1 0 1 0	0 1 0 0 0 1 1
0 0 1 1 0 1 1	0 1 0 0 0 0 0
0 0 1 1 1 0 0	0 1 0 1 0 1 0
0 0 1 1 1 0 1	0 1 0 1 0 0 1
0 0 1 1 1 1 0	0 1 0 1 1 0 1
0 0 1 1 1 1 1	0 1 0 1 1 1 0
0 1 0 0 0 0 0	1 1 1 0 0 0 0
0 1 0 0 0 0 1	1 1 1 0 0 1 1
0 1 0 0 0 1 0	1 1 1 0 1 1 1
0 1 0 0 0 1 1	1 1 1 0 1 0 0
0 1 0 0 1 0 0	1 1 1 1 1 1 0
0 1 0 0 1 0 1	1 1 1 1 1 0 1
0 1 0 0 1 1 0	1 1 1 1 0 0 1
0 1 0 0 1 1 1	1 1 1 1 0 1 0
0 1 0 1 0 0 0	1 1 0 1 1 0 0
0 1 0 1 0 0 1	1 1 0 1 1 1 1
0 1 0 1 0 1 0	1 1 0 1 0 1 1
0 1 0 1 0 1 1	1 1 0 1 0 0 0
0 1 0 1 1 0 0	1 1 0 0 0 1 0
0 1 0 1 1 0 1	1 1 0 0 0 0 1
0 1 0 1 1 1 0	1 1 0 0 1 0 1
0 1 0 1 1 1 1	1 1 0 0 1 1 0
0 1 1 0 0 0 0	1 0 0 1 0 0 0
0 1 1 0 0 0 1	1 0 0 1 0 1 1
0 1 1 0 0 1 0	1 0 0 1 1 1 1
0 1 1 0 0 1 1	1 0 0 1 1 0 0
0 1 1 0 1 0 0	1 0 0 0 1 1 0
0 1 1 0 1 0 1	1 0 0 0 1 0 1
0 1 1 0 1 1 0	1 0 0 0 0 0 1
0 1 1 0 1 1 1	1 0 0 0 0 1 0
0 1 1 1 0 0 0	1 0 1 0 1 0 0
0 1 1 1 0 0 1	1 0 1 0 1 1 1
0 1 1 1 0 1 0	1 0 1 0 0 1 1
0 1 1 1 0 1 1	1 0 1 0 0 0 0
0 1 1 1 1 0 0	1 0 1 1 0 1 0
0 1 1 1 1 0 1	1 0 1 1 0 0 1
0 1 1 1 1 1 0	1 0 1 1 1 0 1
0 1 1 1 1 1 1	1 0 1 1 1 1 0
1 0 0 0 0 0 0	1 1 0 0 0 0 0
1 0 0 0 0 0 1	1 1 0 0 0 1 1
1 0 0 0 0 1 0	1 1 0 0 1 1 1
1 0 0 0 0 1 1	1 1 0 0 1 0 0
1 0 0 0 1 0 0	1 1 0 1 1 1 0
1 0 0 0 1 0 1	1 1 0 1 1 0 1
1 0 0 0 1 1 0	1 1 0 1 0 0 1
1 0 0 0 1 1 1	1 1 0 1 0 1 0
1 0 0 1 0 0 0	1 1 1 1 1 0 0
1 0 0 1 0 0 1	1 1 1 1 1 1 1
1 0 0 1 0 1 0	1 1 1 1 0 1 1
1 0 0 1 0 1 1	1 1 1 1 0 0 0
1 0 0 1 1 0 0	1 1 1 0 0 1 0
1 0 0 1 1 0 1	1 1 1 0 0 0 1
1 0 0 1 1 1 0	1 1 1 0 1 0 1
1 0 0 1 1 1 1	1 1 1 0 1 1 0
1 0 1 0 0 0 0	1 0 1 1 0 0 0
1 0 1 0 0 0 1	1 0 1 1 0 1 1
1 0 1 0 0 1 0	1 0 1 1 1 1 1
1 0 1 0 0 1 1	1 0 1 1 1 0 0
1 0 1 0 1 0 0	1 0 1 0 1 1 0
1 0 1 0 1 0 1	1 0 1 0 1 0 1
1 0 1 0 1 1 0	1 0 1 0 0 0 1
1 0 1 0 1 1 1	1 0 1 0 0 1 0
1 0 1 1 0 0 0	1 0 0 0 1 0 0
1 0 1 1 0 0 1	1 0 0 0 1 1 1
1 0 1 1 0 1 0	1 0 0 0 0 1 1
1 0 1 1 0 1 1	1 0 0 0 0 0 0
1 0 1 1 1 0 0	1 0 0 1 0 1 0
1 0 1 1 1 0 1	1 0 0 1 0 0 1
1 0 1 1 1 1 0	1 0 0 1 1 0 1
1 0 1 1 1 1 1	1 0 0 1 1 1 0
1 1 0 0 0 0 0	0 0 1 0 0 0 0
1 1 0 0 0 0 1	0 0 1 0 0 1 1
1 1 0 0 0 1 0	0 0 1 0 1 1 1
1 1 0 0 0 1 1	0 0 1 0 1 0 0
1 1 0 0 1 0 0	0 0 1 1 1 1 0
1 1 0 0 1 0 1	0 0 1 1 1 0 1
1 1 0 0 1 1 0	0 0 1 1 0 0 1
1 1 0 0 1 1 1	0 0 1 1 0 1 0
1 1 0 1 0 0 0	0 0 0 1 1 0 0
1 1 0 1 0 0 1	0 0 0 1 1 1 1
1 1 0 1 0 1 0	0 0 0 1 0 1 1
1 1 0 1 0 1 1	0 0 0 1 0 0 0
1 1 0 1 1 0 0	0 0 0 0 0 1 0
1 1 0 1 1 0 1	0 0 0 0 0 0 1
1 1 0 1 1 1 0	0 0 0 0 1 0 1
1 1 0 1 1 1 1	0 0 0 0 1 1 0
1 1 1 0 0 0 0	0 1 0 1 0 0 0
1 1 1 0 0 0 1	0 1 0 1 0 1 1
1 1 1 0 0 1 0	0 1 0 1 1 1 1
1 1 1 0 0 1 1	0 1 0 1 1 0 0
1 1 1 0 1 0 0	0 1 0 0 1 1 0
1 1 1 0 1 0 1	0 1 0 0 1 0 1
1 1 1 0 1 1 0	0 1 0 0 0 0 1
1 1 1 0 1 1 1	0 1 0 0 0 1 0
1 1 1 1 0 0 0	0 1 1 0 1 0 0
1 1 1 1 0 0 1	0 1 1 0 1 1 1
1 1 1 1 0 1 0	0 1 1 0 0 1 1
1 1 1 1 0 1 1	0 1 1 0 0 0 0
